Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
80	10191	Cease, Dylan	TOR	P	81.44	65	99		27		
81	9492	Hader, Josh	HOU	P	84.00	63	143		27		
82	11071	Soderstrom, Tyler	ATH	OF, 1B	85.19	69	111		27		
83	10671	Arozarena, Randy	SEA	OF	85.89	64	118		27		
84	11985	Ramirez, Agustin	MIA	C	85.96	70	104		27		
85	12203	Baldwin, Drake	ATL	C	85.96	70	114		27		
86	10083	Valdez, Framber	DET	P	86.33	74	99		27		
87	10321	Helsley, Ryan	BAL	P	87.85	71	114		27		
88	9294	Estevez, Carlos	KC	P	89.67	57	113		27		
89	11305	Suzuki, Seiya	CHC	OF	90.04	77	106		27		
90	11591	Perez, Eury	MIA	P	90.96	75	108		27		
91	9570	Pivetta, Nick	SD	P	92.07	80	110		27		
92	11309	Pena, Jeremy	HOU	SS	92.78	78	110		27		
93	8134	Perez, Salvador	KC	C, 1B	93.15	69	130		27		
94	8981	Iglesias, Raisel	ATL	P	93.59	72	110		27		
95	9820	Bichette, Bo	NYM	SS	95.44	74	118		27		
96	8433	Springer, George	TOR	OF	95.63	80	111		27		
97	8668	Seager, Corey	TEX	SS	96.96	77	120		27		
98	8805	Suarez, Eugenio	CIN	3B	97.96	40	118		27		
99	10363	Smith, Will	LAD	C	98.19	50	119		27		
100	12443	McLean, Nolan	NYM	P	100.15	78	129		27		
101	10305	Cruz, Oneil	PIT	OF	100.44	79	128		27		
102	11065	Harris II, Michael	ATL	OF	100.89	86	118		27		
103	10302	Hoerner, Nico	CHC	2B	101.67	86	116		27		
104	12193	Burns, Chase	CIN	P	102.19	88	117		27		
105	11048	Busch, Michael	CHC	1B	106.89	85	131		27		
106	8975	Hoffman, Jeff	TOR	P	107.00	86	130		27		
107	8658	Story, Trevor	BOS	SS	109.78	86	144		27		
108	9415	Bregman, Alex	CHC	3B	111.15	71	132		27		
109	9652	Pagan, Emilio	CIN	P	111.74	91	125		27		
110	8116	Altuve, Jose	HOU	OF, 2B	111.85	99	127		27		
111	11821	Palencia, Daniel	CHC	P	113.81	86	128		27		
112	9958	Robert Jr., Luis	NYM	OF	114.70	97	129		27		
113	10634	Fairbanks, Pete	MIA	P	115.56	89	141		27		
114	11300	Strider, Spencer	ATL	P	115.74	80	157		27		
115	11559	Diaz, Yainer	HOU	C	116.04	102	139		27		
116	9328	Snell, Blake	LAD	P	116.93	73	243		27		
117	10804	Megill, Trevor	MLW	P	120.70	89	159		27		
118	8427	Gausman, Kevin	TOR	P	120.81	99	141		27		
119	8700	Glasnow, Tyler	LAD	P	121.33	87	152		27		
120	11414	Stowers, Kyle	MIA	OF	122.33	99	148		27		
121	8971	Adames, Willy	SF	SS	123.70	102	150		27		
122	11894	Misiorowski, Jacob	MLW	P	124.22	91	149		27		
123	10241	Adell, Jo	LAA	OF	125.70	105	164		27		
124	7903	Yelich, Christian	MLW	UT	126.07	102	159		27		
125	9678	Woodruff, Brandon	MLW	P	127.30	97	152		27		
126	12228	Keaschall, Luke	MIN	2B	129.70	105	155		27		
127	7931	Jansen, Kenley	DET	P	129.81	106	155		27		
128	10289	King, Michael	SD	P	131.33	108	170		27		
129	11682	Pages, Andy	LAD	OF	131.41	101	152		27		
130	11628	Rafaela, Ceddanne	BOS	2B, OF	131.74	80	160		27		
131	8235	Wheeler, Zack	PHI	P	131.85	109	166		27		
132	9428	Hernandez, Teoscar	LAD	OF	132.52	111	159		27		
133	11811	Sheehan, Emmet	LAD	P	132.70	97	155		27		
134	10964	Lodolo, Nick	CIN	P	132.70	116	155		27		
135	11059	Pepiot, Ryan	TB	P	134.19	121	159		27		
136	9639	Diaz, Yandy	TB	1B	136.56	117	166		27		
137	12361	Schlittler, Cam	NYY	P	137.33	110	174		27		
138	8546	Gray, Sonny	BOS	P	138.63	112	171		27		
139	10419	Marte, Noelvi	CIN	OF, 3B	140.44	112	177		27		
140	9917	Santana, Dennis	PIT	P	142.89	115	169		27		
141	8955	Nimmo, Brandon	TEX	OF	143.63	111	178		27		
142	9432	Swanson, Dansby	CHC	SS	144.04	125	182		27		
143	11939	Marsee, Jakob	MIA	OF	144.30	110	166		27		
144	10704	Rutschman, Adley	BAL	C	145.85	119	175		27		
145	8130	Eovaldi, Nathan	TEX	P	146.63	123	164		27		
146	11649	Butler, Lawrence	ATH	OF	148.70	115	179		27		
147	12463	Yesavage, Trey	TOR	P	149.44	113	180		27		
148	11590	Williams, Gavin	CLE	P	150.07	130	185		27		
149	12035	Chandler, Bubba	PIT	P	150.52	124	180		27		
150	10076	Ward, Taylor	BAL	OF	150.89	128	177		27		
151	10220	Herrera, Ivan	STL	UT	150.96	126	191		27		
152	9721	Albies, Ozzie	ATL	2B	155.37	121	178		27		
153	9683	Chapman, Matt	SF	3B	156.30	133	176		27		
154	10851	Kirk, Alejandro	TOR	C	157.33	122	197		27		
155	9754	Alcantara, Sandy	MIA	P	157.74	127	207		27		
156	10807	Rasmussen, Drew	TB	P	157.96	132	180		27		
157	11794	Walker, Ryan	SF	P	159.00	119	190		27		
158	11653	Doyle, Brenton	COL	OF	161.48	132	191		27		
159	11315	Kwan, Steven	CLE	OF	163.41	141	207		27		
160	8775	Ray, Robbie	SF	P	166.07	133	218		27		
161	10351	Rogers, Trevor	BAL	P	166.52	141	223		27		
162	11664	Uribe, Abner	MLW	P	168.67	136	245		27		
163	10365	Edwards, Xavier	MIA	2B, SS	169.00	117	210		27		
164	12039	Basallo, Samuel	BAL	C	169.22	98	199		27		
165	10068	Lowe, Brandon	PIT	2B	169.30	139	205		27		
166	9506	Castillo, Luis	SEA	P	170.22	137	191		27		
167	12212	Simpson, Chandler	TB	OF	170.56	139	240		27		
168	9263	Contreras, Willson	BOS	1B	172.19	134	198		27		
169	11751	Holliday, Jackson	BAL	2B	173.59	123	235		27		
170	11118	Alvarez, Francisco	NYM	C	174.74	157	207		27		
171	11922	Crews, Dylan	WAS	OF	174.93	152	227		27		
172	11407	Suarez, Robert	ATL	P	175.37	129	215		27		
173	11117	Moreno, Gabriel	ARZ	C	175.89	155	197		27		
174	11884	Imanaga, Shota	CHC	P	176.41	137	207		27		
175	11421	Burleson, Alec	STL	1B, OF	176.59	157	199		27		
176	10831	Torkelson, Spencer	DET	1B	177.96	129	203		27		
177	7689	Trout, Mike	LAA	OF	178.07	140	210		27		
178	12471	Imai, Tatsuya	HOU	P	178.37	138	208		27		
179	12127	Wilson, Jacob	ATH	SS	180.11	147	228		27		
180	11610	Westburg, Jordan	BAL	3B	182.00	103	383		27		
181	9655	Happ, Ian	CHC	OF	182.37	157	209		27		
182	11086	Stott, Bryson	PHI	2B	183.15	148	231		27		
183	10319	Lewis, Royce	MIN	3B	184.00	159	253		27		
184	12469	Griffin, Konnor	PIT	SS	184.33	145	214		27		
185	11901	Teel, Kyle	CWS	C	185.26	161	209		27		
186	9973	Gore, MacKenzie	TEX	P	185.67	156	214		27		
187	9840	Suarez, Ranger	BOS	P	186.37	147	216		27		
188	12453	Stewart, Sal	CIN	1B	187.04	148	214		27		
189	11218	Jax, Griffin	TB	P	187.07	125	226		27		
190	10721	Cabrera, Edward	CHC	P	189.22	173	208		27		
191	12456	Jensen, Carter	KC	C	189.63	104	239		27		
192	11394	Aranda, Jonathan	TB	1B	190.30	140	212		27		
193	11596	Barger, Addison	TOR	3B, OF	193.15	155	218		27		
194	11886	Horton, Cade	CHC	P	194.96	158	235		27		
195	8800	Realmuto, J.T.	PHI	C	195.33	153	240		27		
196	11613	McLain, Matt	CIN	2B	198.04	134	258		27		
197	8228	Profar, Jurickson	ATL	OF	199.52	173	226		27		
198	11595	Bibee, Tanner	CLE	P	199.56	165	235		27		
199	8942	Rodon, Carlos	NYY	P	200.67	105	239		27		
200	12351	Murakami, Munetaka	CWS	3B	201.22	167	237		27		
201	11786	Caballero, Jose	NYY	OF, 2B, 3B, SS	203.33	134	249		27		
202	10331	Baz, Shane	BAL	P	204.00	172	248		27		
203	10180	Varsho, Daulton	TOR	OF	204.70	187	229		27		
204	8924	Walker, Christian	HOU	1B	205.93	163	242		27		
205	10153	Reynolds, Bryan	PIT	OF	206.15	171	239		27		
206	10218	Paredes, Isaac	HOU	3B	206.81	161	242		27		
207	8832	Polanco, Jorge	NYM	2B	207.89	155	233		27		
208	10933	Bubic, Kris	KC	P	208.19	180	246		27		
209	11581	Frelick, Sal	MLW	OF	208.33	176	250		27		
210	12364	Lile, Daylen	WAS	OF	208.74	160	243		27		
211	12490	Okamoto, Kazuma	TOR	3B	209.07	167	243		27		
212	12211	Caglianone, Jac	KC	OF	213.07	142	250		27		
213	10381	Abreu, Bryan	HOU	P	215.37	117	282		27		
214	11346	Tovar, Ezequiel	COL	SS	217.22	177	256		27		
215	10213	Ramos, Heliot	SF	OF	217.56	198	242		27		
216	8961	Nola, Aaron	PHI	P	218.70	180	272		27		
217	10422	Lopez, Otto	MIA	SS, 2B	218.81	185	260		27		
218	9919	Laureano, Ramon	SD	OF	219.85	196	256		27		
219	10332	McClanahan, Shane	TB	P	220.41	189	256		27		
220	11892	Montgomery, Colson	CWS	SS	220.52	177	263		27		
221	11802	Abbott, Andrew	CIN	P	221.44	194	238		27		
222	9944	Gallen, Zac	ARZ	P	223.04	203	248		27		
223	11709	Abreu, Wilyer	BOS	OF	223.85	184	250		27		
224	9838	Dominguez, Seranthony	CWS	P	224.74	167	280		27		
225	9750	Flaherty, Jack	DET	P	228.52	126	275		27		
226	11599	Wells, Austin	NYY	C	230.19	176	282		27		
227	9964	Garcia, Adolis	PHI	OF	230.93	176	264		27		
228	12084	Beck, Jordan	COL	OF	231.81	174	264		27		
229	11940	Sasaki, Roki	LAD	P	232.78	196	301		27		
230	11600	Manzardo, Kyle	CLE	1B	233.56	188	266		27		
231	12204	Durbin, Caleb	BOS	3B	233.70	160	271		27		
232	11530	Carpenter, Kerry	DET	OF	234.19	203	286		27		
233	9087	Boyd, Matthew	CHC	P	234.41	160	270		27		
234	12302	Wetherholt, JJ	STL	SS	235.85	208	269		27		
235	8691	Muncy, Max	LAD	3B	236.56	202	269		27		
236	10920	Dingler, Dillon	DET	C	238.00	198	284		27		
237	8417	Bogaerts, Xander	SD	SS	238.19	212	281		27		
238	9248	Musgrove, Joe	SD	P	238.22	200	280		27		
239	9778	Torres, Gleyber	DET	2B	238.93	129	281		27		
240	10038	Bieber, Shane	TOR	P	239.04	173	328		27		
241	11636	Miller, Bryce	SEA	P	240.19	206	289		27		
242	10125	Bohm, Alec	PHI	3B	241.07	182	305		27		
243	10506	Kelly, Merrill	ARZ	P	241.22	192	300		27		
244	7789	Stanton, Giancarlo	NYY	OF	244.70	200	290		27		
245	11823	Garcia, Robert	TEX	P	247.67	29	305		27		
246	10279	Garcia Jr., Luis	WAS	2B	248.00	217	291		27		
247	10358	Stephenson, Tyler	CIN	C	248.30	191	285		27		
248	10658	Grisham, Trent	NYY	OF	248.33	194	273		27		
249	11075	O'Hoppe, Logan	LAA	C	249.52	203	288		27		
250	8602	Semien, Marcus	NYM	2B	250.04	192	285		27		
251	9784	Moniak, Mickey	COL	OF	252.22	234	294		27		
252	12459	Early, Connelly	BOS	P	254.04	205	330		27		
253	11327	Leiter, Jack	TEX	P	254.26	220	293		27		
254	10481	Arraez, Luis	SF	1B	256.04	155	317		27		
255	10344	Friedl, TJ	CIN	OF	258.96	219	283		27		
256	8656	Correa, Carlos	HOU	3B, SS	259.59	208	297		27		
257	10224	Burger, Jake	TEX	1B	259.78	213	297		27		
258	8231	Cole, Gerrit	NYY	P	259.78	229	297		27		
259	11609	Cowser, Colton	BAL	OF	260.44	215	299		27		
260	10946	Jeffers, Ryan	MIN	C	262.11	211	305		27		
261	12303	Crawford, Justin	PHI	OF	264.11	215	317		27		
262	12305	Smith, Shane	CWS	P	264.22	232	287		27		
263	11357	Donovan, Brendan	SEA	2B	267.41	200	315		27		
264	11326	Nelson, Ryne	ARZ	P	267.96	240	305		27		
265	11162	O'Brien, Riley	STL	P	268.37	224	318		27		
266	12201	Cameron, Noah	KC	P	269.19	220	334		27		
267	11131	Priester, Quinn	MLW	P	271.15	229	311		27		
268	9824	O'Hearn, Ryan	PIT	1B, OF	272.07	233	298		27		
269	10325	Weathers, Ryan	NYY	P	273.11	230	342		27		
270	10254	Lowe, Josh	LAA	OF	273.41	239	313		27		
271	9856	Castro, Willi	COL	2B, 3B, OF	273.48	220	315		27		
272	11753	Carter, Evan	TEX	OF	275.67	211	304		27		
273	11999	Ashcraft, Braxton	PIT	P	275.74	232	314		27		
274	10899	Winn, Masyn	STL	SS	277.33	245	320		27		
275	11123	Baty, Brett	NYM	2B, 3B	277.85	238	382		27		
276	11749	Dominguez, Jasson	NYY	OF	278.89	220	436		27		
277	11556	Steer, Spencer	CIN	1B	279.41	237	321		27		
278	12238	Henderson, Logan	MLW	P	279.85	229	312		27		
279	11182	Senga, Kodai	NYM	P	279.96	250	309		27		
280	12470	McGonigle, Kevin	DET	SS	280.48	224	333		27		
281	10207	Rodriguez, Grayson	LAA	P	281.89	221	332		27		
282	11921	Shaw, Matt	CHC	3B	282.44	216	369		27		
283	10159	Mize, Casey	DET	P	282.93	225	333		27		
284	10401	Cantillo, Joey	CLE	P	285.07	256	333		27		
285	11060	Uceta, Edwin	TB	P	286.81	198	503		27		
286	10925	Clement, Ernie	TOR	2B, 3B, SS	287.19	235	316		27		
287	10417	Vargas, Miguel	CWS	1B, 3B	290.37	240	318		27		
288	10788	Vaughn, Andrew	MLW	1B	290.48	236	364		27		
289	12012	Narvaez, Carlos	BOS	C	293.37	241	358		27		
290	11919	DeLauter, Chase	CLE	OF	296.26	251	349		27		
291	11501	Sosa, Lenyn	CWS	1B, 2B	296.96	243	386		27		
292	11903	Lee, Jung Hoo	SF	OF	297.00	243	367		27		
293	11186	Vest, Will	DET	P	298.96	239	428		27		
294	8666	Manaea, Sean	NYM	P	299.33	253	338		27		
295	10774	Ponce, Cody	TOR	P	300.52	263	339		27		
296	11825	Keith, Colt	DET	2B, 3B	304.19	269	370		27		
297	11619	Burrows, Mike	HOU	P	306.04	267	351		27		
298	10072	Mullins, Cedric	TB	OF	306.52	275	354		27		
299	11159	Ober, Bailey	MIN	P	310.37	278	371		27		
300	12148	Matthews, Zebby	MIN	P	311.15	279	369		27		
301	12226	Beavers, Dylan	BAL	OF	312.74	272	413		27		
302	11585	Painter, Andrew	PHI	P	314.41	255	353		27		
303	11740	Lee, Brooks	MIN	2B, 3B, SS	315.85	282	347		27		
304	10282	Vientos, Mark	NYM	3B	316.56	265	386		27		
305	11947	Scott II, Victor	STL	OF	317.41	281	352		27		
306	12430	Melton, Troy	DET	P	317.74	273	360		26		
307	10145	Singer, Brady	CIN	P	317.93	288	341		27		
308	11907	Snelling, Robby	MIA	P	318.67	253	418		27		
309	9452	Kelly, Carson	CHC	C	318.70	257	376		27		
310	9993	McKinstry, Zach	DET	3B, SS, OF	319.15	272	359		27		
311	12215	Messick, Parker	CLE	P	320.74	287	338		26		
312	10792	Finnegan, Kyle	DET	P	321.04	158	461		27		
313	7886	Taillon, Jameson	CHC	P	322.89	292	354		27		
314	11576	Wallner, Matt	MIN	OF	324.67	283	369		27		
315	9710	Bader, Harrison	SF	OF	324.93	286	377		27		
316	11362	Bello, Brayan	BOS	P	327.59	250	388		27		
317	11441	Smith, Josh	TEX	1B, 3B, SS	328.00	289	358		27		
318	8879	Bassitt, Chris	BAL	P	328.56	248	379		27		
319	10133	Gimenez, Andres	TOR	2B	329.48	227	428		27		
320	11420	Seymour, Ian	TB	P	329.74	284	380		27		
321	11187	Soriano, Jose	LAA	P	330.26	290	381		27		
322	12191	Quero, Edgar	CWS	C	330.48	286	362		27		
323	10980	Jung, Josh	TEX	3B	330.63	301	384		27		
324	11844	Schanuel, Nolan	LAA	1B	331.44	277	395		27		
325	8478	Ozuna, Marcell	PIT	UT	335.11	263	403		27		
326	12259	Patrick, Chad	MLW	P	335.26	300	397		27		
327	11778	Canzone, Dominic	SEA	OF	336.15	291	394		27		
328	9555	Holmes, Clay	NYM	P	336.78	281	374		27		
329	12331	Smith, Cam	HOU	OF	336.81	279	440		27		
330	12480	Benge, Carson	NYM	OF	337.00	248	417		27		
331	8808	Yates, Kirby	LAA	P	338.00	248	405		27		
332	9742	Mahle, Tyler	SF	P	338.37	276	551		27		
333	10143	Naylor, Bo	CLE	C	339.11	295	404		27		
334	12359	Taylor, Grant	CWS	P	339.93	228	417		27		
335	11439	Lawlar, Jordan	ARZ	3B	341.70	293	431		27		
336	9410	Lopez, Reynaldo	ATL	P	344.37	278	387		27		
337	11898	Warren, Will	NYY	P	346.00	277	448		27		
338	12227	Meidroth, Chase	CWS	2B, SS	347.52	291	415		27		
339	10061	McNeil, Jeff	ATH	2B, OF	347.96	289	392		27		
340	10236	Sanchez, Jesus	TOR	OF	348.11	289	414		27		
341	9763	Hays, Austin	CWS	OF	350.30	281	413		27		
342	10569	Edman, Tommy	LAD	2B, OF	350.41	278	460		27		
343	11106	Beeter, Clayton	WAS	P	350.56	258	459		27		
344	10915	Detmers, Reid	LAA	P	351.15	263	418		27		
345	11325	Volpe, Anthony	NYY	SS	351.37	274	413		27		
346	10438	Kikuchi, Yusei	LAA	P	353.15	232	425		27		
347	12028	Leasure, Jordan	CWS	P	354.56	295	468		27		
348	10248	India, Jonathan	KC	OF, 3B, 2B	354.85	304	411		27		
349	11861	Vodnik, Victor	COL	P	354.96	265	444		27		
350	8221	Castellanos, Nick	SD	OF	356.22	275	426		27		
351	10477	Steele, Justin	CHC	P	356.52	289	405		27		
352	8426	Wacha, Michael	KC	P	358.93	250	433		27		
353	8962	Bell, Josh	MIN	1B	359.85	312	425		27		
354	9799	Keller, Mitch	PIT	P	360.89	259	417		27		
355	10885	Walker, Jordan	STL	OF	361.19	313	411		27		
356	12217	Ballesteros, Moises	CHC	UT	361.85	313	413		27		
357	12202	Eldridge, Bryce	SF	UT	362.74	298	444		27		
358	11553	Estrada, Jeremiah	SD	P	363.41	300	422		27		
359	12344	Tong, Jonah	NYM	P	365.00	294	471		27		
360	11934	Mayer, Marcelo	BOS	3B	368.52	326	424		27		
361	9765	Robles, Victor	SEA	OF	368.59	315	425		27		
362	10971	Cavalli, Cade	WAS	P	370.15	316	427		27		
363	10528	Romero, JoJo	STL	P	370.70	280	468		27		
364	12179	Collins, Isaac	KC	OF	371.59	318	426		27		
365	9312	Lugo, Seth	KC	P	371.89	311	431		27		
366	10760	Gil, Luis	NYY	P	374.07	299	432		27		
367	10146	Marsh, Brandon	PHI	OF	375.04	273	449		27		
368	12096	Schwellenbach, Spencer	ATL	P	375.11	91	577		26		
369	12050	Caissie, Owen	MIA	OF	375.33	268	423		27		
370	11841	Lopez, Jacob	ATH	P	375.37	321	423		27		
371	8223	Arenado, Nolan	ARZ	3B	375.74	312	453		27		
372	9609	Rengifo, Luis	MLW	2B, 3B	376.48	299	457		27		
373	10204	Sheets, Gavin	SD	OF	379.37	338	441		27		
374	9772	Scott, Tanner	LAD	P	382.22	203	522		27		
375	12067	Mangum, Jake	PIT	OF	383.26	289	439		27		
376	10263	Ruiz, Keibert	WAS	C	384.63	264	498		27		
377	8650	Stephenson, Robert	LAA	P	385.07	285	473		27		
378	11514	Fermin, Freddy	SD	C	385.11	310	447		27		
379	11434	Horwitz, Spencer	PIT	1B	385.15	317	427		27		
380	11147	Kim, Ha-Seong	ATL	SS	385.19	313	495		27		
381	10181	Peterson, David	NYM	P	385.26	338	495		27		
382	8694	Crawford, J.P.	SEA	SS	385.30	152	480		27		
383	9262	Caratini, Victor	MIN	C	386.52	321	443		27		
384	10303	Gorman, Nolan	STL	3B, 2B	386.59	301	515		27		
385	11342	Clemens, Kody	MIN	OF, 2B, 1B	388.11	318	447		27		
386	10769	Cleavinger, Garrett	TB	P	388.15	244	489		27		
387	8724	Giolito, Lucas	BOS	P	388.41	289	523		27		
388	10335	Woods Richardson, Simeon	MIN	P	389.26	323	479		27		
389	11937	Ford, Harry	WAS	C	391.63	312	451		27		
390	11614	Acuna, Luisangel	CWS	2B	391.89	274	480		27		
391	12097	Sterner, Justin	ATH	P	395.00	274	466		27		
392	9599	Santander, Anthony	TOR	OF	399.67	234	598		25		
393	11887	Waldrep, Hurston	ATL	P	400.22	235	600		24		
394	10832	Meyer, Max	MIA	P	401.70	351	460		27		
395	10717	Javier, Cristian	HOU	P	401.85	333	444		27		
396	11102	Bailey, Patrick	SF	C	401.85	303	485		27		
397	12478	White, Thomas	MIA	P	403.89	261	471		27		
398	12452	Tolle, Payton	BOS	P	404.48	335	565		27		
399	11893	Jones, Jared	PIT	P	405.59	311	584		27		
400	9789	O'Neill, Tyler	BAL	OF	409.48	363	458		27		
401	12434	Morales, Luis	ATH	P	410.07	324	518		27		
402	11889	Mayo, Coby	BAL	1B	410.52	316	470		27		
403	11668	Triolo, Jared	PIT	1B, 3B, SS	410.63	347	475		27		
404	9225	Rogers, Taylor	MIN	P	411.56	243	572		27		
405	11105	Doval, Camilo	NYY	P	413.48	342	513		27		
406	11603	Norby, Connor	MIA	3B	413.70	330	521		27		
407	11586	Pfaadt, Brandon	ARZ	P	416.37	335	491		27		
408	9860	Littell, Zack	CIN	P	416.85	270	528		27		
409	10307	Meadows, Parker	DET	OF	417.07	328	495		27		
410	10327	Murphy, Sean	ATL	C	417.78	332	527		27		
411	12020	Arrighetti, Spencer	HOU	P	418.52	348	484		27		
412	10350	Larnach, Trevor	MIN	OF	418.78	317	474		27		
413	8643	Baez, Javier	DET	3B, SS, OF	420.41	355	498		27		
414	12010	Nunez, Nasim	WAS	SS	420.41	356	584		27		
415	10123	Morejon, Adrian	SD	P	422.19	256	509		27		
416	12472	Miller, Aidan	PHI	SS	423.26	303	549		27		
417	12195	Campbell, Kristian	BOS	2B	423.33	290	536		27		
418	9726	McMahon, Ryan	NYY	3B	423.96	370	478		27		
419	11225	Nootbaar, Lars	STL	OF	424.44	332	494		27		
420	9475	Gurriel Jr., Lourdes	ARZ	OF	424.52	254	522		27		
421	9800	Burnes, Corbin	ARZ	P	424.89	335	503		27		
422	9876	Lopez, Pablo	MIN	P	425.44	112	462		11		
423	10468	Holmes, Grant	ATL	P	425.78	257	543		27		
424	10355	Casas, Triston	BOS	1B	426.22	359	559		27		
425	9379	Eflin, Zach	BAL	P	427.37	382	487		27		
426	10290	Amaya, Miguel	CHC	C	428.48	364	503		27		
427	11190	Whitlock, Garrett	BOS	P	429.04	297	525		27		
428	10766	Cronenworth, Jake	SD	2B	429.11	349	489		27		
429	10347	Santillan, Tony	CIN	P	430.37	312	533		27		
